name,latitude,longitude
PARK NO. 560,41.897004,-87.6392975
GATELY (JAMES),41.708993,-87.604043
ANDERSON (LOUIS),41.826108,-87.6207915
HOLLY,41.820487,-87.6033725
DOBSON,41.757809,-87.5989785
BOSWELL (ARNITA YOUNG),41.7737115,-87.5988335
FLYING SQUIRREL,41.774844,-87.5964205
HUCKLEBERRY,41.782225,-87.595094
SYCAMORE,41.801762,-87.5993415
ELM,41.8004115,-87.596299
WASHINGTON (HAROLD),41.8026175,-87.5832625
MERRILL (GEORGE),41.7197735,-87.572239
OWENS (JESSE),41.735257,-87.574522
WASHINGTON (DINAH),41.745434,-87.576735
ECKERSALL (WALTER HERBERT),41.7466395,-87.5649335
RAINBOW BEACH,41.7568455,-87.5486155
